OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
1,101110,4731,1324,2656,83,24,580,15,37,12,3800,930,2268,64,22,466,14,27,9,1734,1641,93,Tract: 1011.10\nTotal Population: 4731,navigatela/reports/census_tracts_2010.cfm?PK=101110
2,101122,3664,575,2437,34,18,578,3,12,7,3018,413,2066,22,17,481,2,10,7,1369,1325,44,Tract: 1011.22\nTotal Population: 3664,navigatela/reports/census_tracts_2010.cfm?PK=101122
3,101210,5990,2219,2890,192,16,625,16,15,17,4614,1479,2404,143,15,537,13,11,12,2317,2150,167,Tract: 1012.10\nTotal Population: 5990,navigatela/reports/census_tracts_2010.cfm?PK=101210
4,101220,3363,1272,1662,45,25,335,6,6,12,2607,861,1414,24,21,270,6,4,7,1317,1246,71,Tract: 1012.20\nTotal Population: 3363,navigatela/reports/census_tracts_2010.cfm?PK=101220
5,101300,4199,503,3190,47,26,402,10,10,11,3495,371,2714,35,20,329,9,9,8,1582,1542,40,Tract: 1013.00\nTotal Population: 4199,navigatela/reports/census_tracts_2010.cfm?PK=101300
6,101400,3903,721,2649,64,23,415,8,10,13,3221,520,2276,46,21,334,7,9,8,1568,1498,70,Tract: 1014.00\nTotal Population: 3903,navigatela/reports/census_tracts_2010.cfm?PK=101400
7,102103,1740,375,1114,23,9,203,12,1,3,1471,298,968,18,9,164,12,1,1,680,630,50,Tract: 1021.03\nTotal Population: 1740,navigatela/reports/census_tracts_2010.cfm?PK=102103
8,102104,3648,533,2437,94,8,537,6,16,17,3092,442,2081,75,8,457,5,10,14,1326,1279,47,Tract: 1021.04\nTotal Population: 3648,navigatela/reports/census_tracts_2010.cfm?PK=102104
9,102105,1731,1136,413,15,2,152,3,6,4,1338,829,365,11,2,123,3,3,2,560,527,33,Tract: 1021.05\nTotal Population: 1731,navigatela/reports/census_tracts_2010.cfm?PK=102105
10,102107,3851,1039,2310,109,32,308,18,16,19,3137,729,2016,80,28,253,9,11,11,1326,1269,57,Tract: 1021.07\nTotal Population: 3851,navigatela/reports/census_tracts_2010.cfm?PK=102107
11,103101,2670,566,1761,29,17,280,6,8,3,2154,394,1487,18,14,228,5,5,3,948,918,30,Tract: 1031.01\nTotal Population: 2670,navigatela/reports/census_tracts_2010.cfm?PK=103101
12,103102,4751,1351,2646,30,34,658,7,19,6,3827,985,2233,28,27,531,7,12,4,1708,1627,81,Tract: 1031.02\nTotal Population: 4751,navigatela/reports/census_tracts_2010.cfm?PK=103102
13,103200,6146,1782,3462,275,51,512,9,26,29,4987,1277,2983,225,40,407,9,22,24,2284,2181,103,Tract: 1032.00\nTotal Population: 6146,navigatela/reports/census_tracts_2010.cfm?PK=103200
14,103300,3819,744,2710,42,25,267,7,10,14,3039,516,2233,26,23,216,6,9,10,1400,1322,78,Tract: 1033.00\nTotal Population: 3819,navigatela/reports/census_tracts_2010.cfm?PK=103300
15,103400,6143,1540,3786,114,41,597,9,20,36,5001,1095,3247,84,35,493,8,16,23,2484,2342,142,Tract: 1034.00\nTotal Population: 6143,navigatela/reports/census_tracts_2010.cfm?PK=103400
16,104103,4085,2918,307,523,5,290,1,16,25,2947,1990,262,422,5,234,1,14,19,842,817,25,Tract: 1041.03\nTotal Population: 4085,navigatela/reports/census_tracts_2010.cfm?PK=104103
17,104105,5412,4472,223,355,8,318,7,10,19,3643,2886,189,278,8,255,7,7,13,1456,1391,65,Tract: 1041.05\nTotal Population: 5412,navigatela/reports/census_tracts_2010.cfm?PK=104105
18,104108,5256,4169,253,596,11,190,0,10,27,3610,2751,213,457,8,156,0,3,22,1346,1291,55,Tract: 1041.08\nTotal Population: 5256,navigatela/reports/census_tracts_2010.cfm?PK=104108
19,104124,3652,2011,797,566,16,228,5,8,21,2683,1388,662,414,13,182,3,5,16,960,902,58,Tract: 1041.24\nTotal Population: 3652,navigatela/reports/census_tracts_2010.cfm?PK=104124
20,104201,4780,4293,50,393,5,8,0,4,27,3250,2861,39,320,3,6,0,3,18,885,848,37,Tract: 1042.01\nTotal Population: 4780,navigatela/reports/census_tracts_2010.cfm?PK=104201
21,104203,5210,4708,67,324,9,70,10,16,6,3469,3044,54,281,6,64,5,10,5,1158,1085,73,Tract: 1042.03\nTotal Population: 5210,navigatela/reports/census_tracts_2010.cfm?PK=104203
22,104204,2886,2084,285,246,4,253,2,3,9,2059,1374,266,205,3,198,2,3,8,597,573,24,Tract: 1042.04\nTotal Population: 2886,navigatela/reports/census_tracts_2010.cfm?PK=104204
23,104310,4921,4624,81,191,5,8,0,6,6,3350,3100,68,163,5,7,0,5,2,931,886,45,Tract: 1043.10\nTotal Population: 4921,navigatela/reports/census_tracts_2010.cfm?PK=104310
24,104320,5998,5464,67,356,14,85,0,4,8,4133,3672,48,309,10,83,0,4,7,1359,1265,94,Tract: 1043.20\nTotal Population: 5998,navigatela/reports/census_tracts_2010.cfm?PK=104320
25,104401,3357,3248,71,2,12,20,1,2,1,2361,2260,66,2,11,20,1,0,1,725,682,43,Tract: 1044.01\nTotal Population: 3357,navigatela/reports/census_tracts_2010.cfm?PK=104401
26,104403,3282,3159,58,16,5,31,0,12,1,2327,2230,46,12,5,28,0,5,1,717,657,60,Tract: 1044.03\nTotal Population: 3282,navigatela/reports/census_tracts_2010.cfm?PK=104403
27,104404,3236,3112,57,35,7,19,0,6,0,2249,2146,47,30,6,17,0,3,0,694,662,32,Tract: 1044.04\nTotal Population: 3236,navigatela/reports/census_tracts_2010.cfm?PK=104404
28,104500,3293,3137,107,20,1,25,2,1,0,2265,2140,83,16,1,22,2,1,0,748,685,63,Tract: 1045.00\nTotal Population: 3293,navigatela/reports/census_tracts_2010.cfm?PK=104500
29,104610,3672,3574,50,17,6,13,6,6,0,2518,2446,37,14,6,11,3,1,0,785,729,56,Tract: 1046.10\nTotal Population: 3672,navigatela/reports/census_tracts_2010.cfm?PK=104610
30,104620,3539,3420,72,10,19,13,0,2,3,2499,2400,58,10,15,13,0,2,1,796,722,74,Tract: 1046.20\nTotal Population: 3539,navigatela/reports/census_tracts_2010.cfm?PK=104620
31,104701,4208,4018,36,121,3,13,0,10,7,2532,2418,28,68,2,12,0,1,3,931,900,31,Tract: 1047.01\nTotal Population: 4208,navigatela/reports/census_tracts_2010.cfm?PK=104701
32,104703,2397,2264,69,44,2,12,0,1,5,1617,1510,58,36,2,8,0,1,2,584,557,27,Tract: 1047.03\nTotal Population: 2397,navigatela/reports/census_tracts_2010.cfm?PK=104703
33,104704,4219,3238,233,562,13,148,12,5,8,2840,2077,196,434,9,108,7,2,7,1159,1117,42,Tract: 1047.04\nTotal Population: 4219,navigatela/reports/census_tracts_2010.cfm?PK=104704
34,104810,5328,4996,158,28,4,114,19,6,3,3697,3415,139,23,4,98,13,3,2,1132,1028,104,Tract: 1048.10\nTotal Population: 5328,navigatela/reports/census_tracts_2010.cfm?PK=104810
35,104821,3514,3269,118,40,10,66,0,6,5,2424,2225,100,22,10,59,0,5,3,834,760,74,Tract: 1048.21\nTotal Population: 3514,navigatela/reports/census_tracts_2010.cfm?PK=104821
36,104822,2277,1998,75,24,4,167,0,4,5,1551,1312,61,17,3,151,0,4,3,614,562,52,Tract: 1048.22\nTotal Population: 2277,navigatela/reports/census_tracts_2010.cfm?PK=104822
37,106010,3152,2115,621,167,15,201,2,10,21,2381,1490,547,134,13,170,2,8,17,962,930,32,Tract: 1060.10\nTotal Population: 3152,navigatela/reports/census_tracts_2010.cfm?PK=106010
38,106020,5557,4241,903,148,22,200,4,20,19,4056,2947,787,110,19,162,4,14,13,1433,1385,48,Tract: 1060.20\nTotal Population: 5557,navigatela/reports/census_tracts_2010.cfm?PK=106020
39,106111,4334,2552,1194,209,23,328,3,14,11,3336,1816,1042,165,22,271,3,11,6,1345,1313,32,Tract: 1061.11\nTotal Population: 4334,navigatela/reports/census_tracts_2010.cfm?PK=106111
40,106112,5969,4092,1007,225,39,565,6,18,17,4325,2807,871,161,24,434,6,14,8,1501,1462,39,Tract: 1061.12\nTotal Population: 5969,navigatela/reports/census_tracts_2010.cfm?PK=106112
41,106113,3493,2670,550,76,20,157,4,2,14,2577,1860,491,67,15,129,4,2,9,884,850,34,Tract: 1061.13\nTotal Population: 3493,navigatela/reports/census_tracts_2010.cfm?PK=106113
42,106114,5880,4995,439,228,27,159,1,12,19,4011,3272,388,175,22,132,1,9,12,1622,1500,122,Tract: 1061.14\nTotal Population: 5880,navigatela/reports/census_tracts_2010.cfm?PK=106114
43,106403,3825,3401,296,48,5,62,5,7,1,2692,2332,266,37,3,49,3,1,1,863,817,46,Tract: 1064.03\nTotal Population: 3825,navigatela/reports/census_tracts_2010.cfm?PK=106403
44,106405,3966,3165,400,237,13,136,1,9,5,2767,2107,365,163,7,115,1,4,5,1174,1118,56,Tract: 1064.05\nTotal Population: 3966,navigatela/reports/census_tracts_2010.cfm?PK=106405
45,106406,4962,3514,934,137,37,311,5,13,11,3622,2390,846,107,24,241,3,6,5,1670,1359,311,Tract: 1064.06\nTotal Population: 4962,navigatela/reports/census_tracts_2010.cfm?PK=106406
46,106407,2933,2235,410,193,8,68,6,4,9,2095,1459,398,158,8,59,5,2,6,872,822,50,Tract: 1064.07\nTotal Population: 2933,navigatela/reports/census_tracts_2010.cfm?PK=106407
47,106408,3463,3005,156,122,8,150,0,10,12,2226,1874,134,90,4,113,0,5,6,996,915,81,Tract: 1064.08\nTotal Population: 3463,navigatela/reports/census_tracts_2010.cfm?PK=106408
48,106510,5108,3261,1027,357,24,403,3,14,19,3521,2050,882,211,20,330,2,11,15,1538,1446,92,Tract: 1065.10\nTotal Population: 5108,navigatela/reports/census_tracts_2010.cfm?PK=106510
49,106520,5837,4983,662,77,26,76,1,3,9,4199,3448,595,60,19,69,1,2,5,1463,1395,68,Tract: 1065.20\nTotal Population: 5837,navigatela/reports/census_tracts_2010.cfm?PK=106520
50,106603,2979,475,1662,109,17,674,3,10,29,2410,345,1384,89,10,553,2,8,19,992,965,27,Tract: 1066.03\nTotal Population: 2979,navigatela/reports/census_tracts_2010.cfm?PK=106603
51,106604,5020,4288,401,108,22,182,6,6,7,3459,2847,352,87,14,142,6,4,7,1265,1205,60,Tract: 1066.04\nTotal Population: 5020,navigatela/reports/census_tracts_2010.cfm?PK=106604
52,106641,2317,301,1518,59,10,395,2,18,14,1872,215,1266,46,8,310,1,16,10,787,774,13,Tract: 1066.41\nTotal Population: 2317,navigatela/reports/census_tracts_2010.cfm?PK=106641
53,106642,3236,722,1897,122,12,459,3,6,15,2572,508,1579,93,8,368,3,4,9,1095,1069,26,Tract: 1066.42\nTotal Population: 3236,navigatela/reports/census_tracts_2010.cfm?PK=106642
54,106643,4320,582,2706,134,10,854,0,16,18,3377,439,2124,93,8,690,0,10,13,1344,1312,32,Tract: 1066.43\nTotal Population: 4320,navigatela/reports/census_tracts_2010.cfm?PK=106643
55,106645,3389,546,2151,122,10,540,0,9,11,2759,417,1802,89,7,430,0,7,7,1205,1172,33,Tract: 1066.45\nTotal Population: 3389,navigatela/reports/census_tracts_2010.cfm?PK=106645
56,106646,3237,1107,1371,118,6,590,2,24,19,2559,786,1163,90,5,488,2,14,11,964,933,31,Tract: 1066.46\nTotal Population: 3237,navigatela/reports/census_tracts_2010.cfm?PK=106646
57,106648,3890,3478,215,87,18,57,1,26,8,2621,2295,186,51,16,48,1,20,4,1005,938,67,Tract: 1066.48\nTotal Population: 3890,navigatela/reports/census_tracts_2010.cfm?PK=106648
58,106649,2853,1824,274,111,8,612,3,8,13,2095,1276,224,79,4,499,2,5,6,727,709,18,Tract: 1066.49\nTotal Population: 2853,navigatela/reports/census_tracts_2010.cfm?PK=106649
59,107010,3247,2970,199,15,8,52,0,0,3,2346,2098,179,15,8,44,0,0,2,752,712,40,Tract: 1070.10\nTotal Population: 3247,navigatela/reports/census_tracts_2010.cfm?PK=107010
