,Geo_FIPS,Geo_TRACT,concentrated_disadvantage,commute_time,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65,cars_per_home
0,06037101110,101110,0.3388693338930321,34.0,53077.0,4314,878,965,1721,750,0.6206185567010309
1,06037101122,101122,-1.1110465936089102,41.0,88953.0,3239,393,823,1479,544,0.9313593539703903
2,06037101210,101210,0.7379794217260265,28.0,32119.0,6052,1369,1461,2663,559,0.23182346109175378
3,06037101220,101220,-0.1818891608773017,30.0,41728.0,3497,726,764,1434,573,0.42418516769012754
4,06037101300,101300,-1.0894408424121387,36.0,86914.0,4297,518,926,2056,797,1.1273408239700375
5,06037101400,101400,-0.45740357906898477,35.0,71125.0,3851,669,886,1671,625,0.6114918292040064
6,06037102103,102103,-0.28453539851878157,27.0,76333.0,1771,308,324,836,303,0.720855614973262
7,06037102104,102104,-0.2407675831378182,30.0,70754.0,3554,511,897,1488,658,0.7088145896656535
8,06037102105,102105,-0.37678776488496957,25.0,52132.0,1857,354,361,1004,138,0.7757009345794392
9,06037102107,102107,-0.9490653094756925,31.0,106037.0,4333,683,898,2038,714,1.1615853658536586
10,06037103101,103101,-0.953090021267049,36.0,89211.0,2597,494,554,1149,400,1.071360608943863
11,06037103102,103102,-0.26974035417389874,36.0,74631.0,4456,690,889,2112,765,0.9511297950604309
12,06037103200,103200,-0.8367432376917998,34.0,71346.0,6726,1069,1297,2800,1560,0.7791371538956857
13,06037103300,103300,-1.2476319662476816,35.0,93207.0,3549,563,515,1692,779,1.6737438075017692
14,06037103400,103400,-0.6259679835433738,29.0,81618.0,6662,1120,1444,2867,1231,0.966258584652135
15,06037104103,104103,-0.8983926924912452,28.0,86989.0,3647,740,954,1528,425,1.635532994923858
16,06037104105,104105,0.5258135321620679,32.0,52616.0,6190,1552,1692,2324,622,0.5332502078137988
17,06037104108,104108,0.7686138001914811,33.0,50259.0,5420,1369,1585,1930,536,0.7227456258411844
18,06037104124,104124,-1.0533169893947494,37.0,84250.0,4189,923,1062,1642,562,0.8061016949152542
19,06037104201,104201,0.7620386272680362,33.0,51563.0,4424,1100,1282,1608,434,1.808130081300813
20,06037104203,104203,0.5290011678816576,33.0,46406.0,5541,1731,1204,2217,389,1.4620181405895691
21,06037104204,104204,-0.3502355360532451,33.0,63333.0,3562,751,1000,1457,354,1.3852376137512639
22,06037104310,104310,-0.787492413001037,29.0,69904.0,5313,1669,1400,1783,461,2.25044404973357
23,06037104320,104320,0.4369034617403725,28.0,52895.0,5599,1274,1844,1891,590,0.9076112972714218
24,06037104401,104401,0.11182519911950996,28.0,69965.0,3452,941,913,1242,356,1.4525316455696202
25,06037104403,104403,0.11142338952324332,27.0,55398.0,3279,757,913,1191,418,1.5228310502283104
26,06037104404,104404,0.5926931912449784,27.0,55341.0,3128,950,871,1042,265,1.298019801980198
27,06037104500,104500,0.07633634297252367,24.0,60139.0,2950,601,920,1034,395,1.8125819134993446
28,06037104610,104610,0.27775433040012787,29.0,60320.0,3504,911,966,1300,327,1.3330029732408326
