,Geo_FIPS,Geo_TRACT,r_concentrated_disadvantage,r_commute_time,r_median_household_income,a_total_population,a_pop_below_18,a_pop_between_18_34,a_pop_between_34_65,a_pop_over_65,a_occupied_households,a_family_households,a_nonfamily_households,r_average_household_size,r_population_density,a_householder_less_than_high_school,a_householder_high_school_degree,a_householder_some_college,a_householder_bachelors_degree,a_older_than_3_in_school,a_older_than_3_not_in_school,a_not_high_school_grad,a_high_school_grad,a_employed,a_unemployed,a_not_in_labor_force,r_median_house_value,a_30_49_percet_income_to_rent,a_over_50_percent_income_to_rent,a_commuters_by_car_truck_van,a_commuters_by_car_truck_van_alone,a_commuters_by_car_truck_van_carpool,a_children_living_with_single_parents,a_private_sector,a_public_sector,a_self_employed,a_private_non-profit,a_unpaid_family_workers,a_households_social_security_income,a_households_SsI,a_households_retirement_income,a_housing_units,a_vacant_units,a_total_cars
0,06037101110,101110,0.25342064170119183,34.0,53077.0,4314,878,965,1721,750,1596,1000,596,2.64,9780.452,255,336,609,396,1033,3129,0,177,1980,166,1408,458700.0,225,279,1763,1588,175,211,1223,1223,1223,1223,1223,378,141,212,1743,147,4300
1,06037101122,101122,-0.8273902661600727,41.0,88953.0,3239,393,823,1479,544,1256,906,350,2.57,3172.7790000000005,103,288,464,401,525,2684,0,33,1971,94,788,608400.0,106,53,1776,1645,131,161,1204,1204,1204,1204,1204,357,45,281,1391,135,3842
2,06037101210,101210,0.5509292959516223,28.0,32119.0,6052,1369,1461,2663,559,2321,1531,790,2.58,24089.21,405,595,808,513,1527,4328,0,289,2851,321,1679,374300.0,482,866,2445,2235,210,728,2074,2074,2074,2074,2074,390,275,167,2402,81,5457
3,06037101220,101220,-0.13476839107873534,30.0,41728.0,3497,726,764,1434,573,1294,881,413,2.7,12959.46,229,315,495,255,864,2533,0,172,1566,132,1169,414800.0,231,382,1360,1235,125,225,1110,1110,1110,1110,1110,376,232,83,1328,34,3200
4,06037101300,101300,-0.8112846898828054,36.0,86914.0,4297,518,926,2056,797,1435,1061,374,2.96,4311.606,52,380,465,538,868,3389,0,120,2072,125,1651,586000.0,19,72,1765,1631,134,41,832,832,832,832,832,536,169,267,1584,149,4503
5,06037101400,101400,-0.3401451186574605,35.0,71125.0,3851,669,886,1671,625,1473,1000,473,2.6,1580.6589999999999,147,205,529,592,853,2842,0,135,1891,150,1236,560000.0,109,143,1596,1358,238,128,1178,1178,1178,1178,1178,472,82,273,1614,141,4149
6,06037102103,102103,-0.2112839815274666,27.0,76333.0,1771,308,324,836,303,696,513,183,2.54,3865.934,35,180,201,280,323,1366,0,78,818,83,607,591700.0,47,97,710,639,71,74,502,502,502,502,502,191,13,152,726,30,2062
7,06037102104,102104,-0.17865813655278281,30.0,70754.0,3554,511,897,1488,658,1270,976,294,2.62,5549.938,58,271,472,469,846,2663,0,182,1611,187,1298,548900.0,87,174,1273,1128,145,115,934,934,934,934,934,442,46,196,1345,75,3493
8,06037102105,102105,-0.28005166795213765,25.0,52132.0,1857,354,361,1004,138,563,422,141,3.3,9760.528,93,163,206,101,472,1339,0,140,1058,99,419,463900.0,50,142,894,845,49,63,676,676,676,676,676,93,10,29,589,26,1536
9,06037102107,102107,-0.7066445488120425,31.0,106037.0,4333,683,898,2038,714,1305,1009,296,3.15,869.3781,128,271,512,394,1022,3301,11,257,2189,137,1413,625600.0,84,75,1963,1713,250,121,1400,1400,1400,1400,1400,315,60,254,1352,47,4074
10,06037103101,103101,-0.7096446899392529,36.0,89211.0,2597,494,554,1149,400,916,694,222,2.82,3313.715,100,163,276,377,450,2020,0,90,1298,91,764,509600.0,36,76,1142,989,153,32,785,785,785,785,785,329,44,207,976,60,2764
11,06037103102,103102,-0.20025531082530337,36.0,74631.0,4456,690,889,2112,765,1568,1112,456,2.84,9299.53,226,430,447,465,928,3496,12,203,2413,170,1332,447500.0,118,60,2214,1839,375,30,1560,1560,1560,1560,1560,414,184,219,1700,132,4629
12,06037103200,103200,-0.6229163007978524,34.0,71346.0,6726,1069,1297,2800,1560,2274,1672,602,2.84,2349.455,91,544,868,771,1095,5490,1,302,3102,90,2632,539800.0,195,136,2634,2267,367,281,2016,2016,2016,2016,2016,844,96,385,2349,75,6233
13,06037103300,103300,-0.9292051078361822,35.0,93207.0,3549,563,515,1692,779,1225,839,386,2.89,1496.57,36,136,478,575,590,2883,12,161,1841,68,1147,690300.0,29,60,1510,1256,254,24,1039,1039,1039,1039,1039,516,132,223,1396,171,3962
14,06037103400,103400,-0.4657980917556636,29.0,81618.0,6662,1120,1444,2867,1231,2432,1559,873,2.71,6899.722,117,388,1091,836,1239,5079,16,237,3320,138,2206,513000.0,170,314,2710,2447,263,291,2015,2015,2015,2015,2015,728,146,392,2507,75,7127
15,06037104103,104103,-0.6688716572065097,28.0,86989.0,3647,740,954,1528,425,845,709,136,4.18,9952.162,179,268,256,142,898,2626,0,222,1834,29,1094,429200.0,30,84,1576,1298,278,133,1191,1191,1191,1191,1191,290,81,121,877,32,2549
16,06037104105,104105,0.39277446547679984,32.0,52616.0,6190,1552,1692,2324,622,1673,1295,378,3.69,27419.33,627,257,450,339,1838,4061,9,481,2492,264,2126,329000.0,206,230,1810,1525,285,440,1764,1764,1764,1764,1764,484,196,213,1689,16,4484
17,06037104108,104108,0.5737650823396363,33.0,50259.0,5420,1369,1585,1930,536,1421,1041,380,3.81,12800.81,444,373,369,235,1567,3647,0,253,2556,231,1383,366900.0,330,188,2170,1768,402,408,1823,1823,1823,1823,1823,370,213,87,1452,31,3580
18,06037104124,104124,-0.7843568841841408,37.0,84250.0,4189,923,1062,1642,562,1260,898,362,3.13,2422.087,203,251,310,496,1251,2741,10,266,1852,97,1394,383800.0,140,14,1481,1248,233,268,1064,1064,1064,1064,1064,363,58,352,1335,75,3742
19,06037104201,104201,0.5688637508334868,33.0,51563.0,4424,1100,1282,1608,434,919,710,209,4.81,10511.03,540,229,121,29,1174,3086,17,246,1910,126,1471,400900.0,25,121,1573,1376,197,131,1461,1461,1461,1461,1461,311,57,100,919,0,2918
20,06037104203,104203,0.39515062494278796,33.0,46406.0,5541,1731,1204,2217,389,1145,996,149,4.84,20270.72,537,309,259,40,1726,3666,9,374,2455,236,1407,368700.0,259,231,1999,1523,476,384,1797,1797,1797,1797,1797,225,60,111,1161,16,3236
21,06037104204,104204,-0.26025883858526544,33.0,63333.0,3562,751,1000,1457,354,730,630,100,4.32,3462.3740000000003,352,188,94,96,975,2499,5,218,1501,125,1290,359000.0,122,57,1226,1001,225,210,1044,1044,1044,1044,1044,133,64,53,771,41,2150
