,Station,Address,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,ev_car_zip_count,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65
0,AUI-10372,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,90008,6037234000,0.14936149341820282,34.0,0.6428571428571429,56708.0,232,5156,1040,944,2213,959
1,AUI-10263,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,90015-3018,6037207900,-0.11658215953072175,29.0,0.09440389294403892,88800.0,224,6133,515,3220,2063,335
2,AUI-10254,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,90021,6037226002,1.2070649167533478,32.0,0.06715328467153285,27632.0,79,1754,208,692,774,80
3,AUI-10265,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.2911317,90037,6037232700,1.199626960631544,35.0,0.8459743290548425,37067.0,62,6588,1926,1816,2340,506
4,AUI-10218,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.614541,91303,6037134303,-0.20162546254290606,31.0,0.9828042328042328,88526.0,126,5723,884,1271,2616,952
5,AUI-10241,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.4531985,91401-2649,6037127220,0.8919442752393832,33.0,0.3154499151103565,40665.0,532,5005,1009,1377,2091,528
6,AUI-10201,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.2564209,90015,6037207900,-0.11658215953072175,29.0,0.09440389294403892,88800.0,224,6133,515,3220,2063,335
7,AUI-10226,"1222 S Grand Ave, Los Angeles, CA",34.03928270000001,-118.2635887,90015,6037207900,-0.11658215953072175,29.0,0.09440389294403892,88800.0,224,6133,515,3220,2063,335
8,AUI-10212,"1676 N Hobart Blvd, Los Angeles, CA",34.1013974,-118.3056538,90029-3737,6037190520,0.7261335421745508,30.0,0.14107883817427386,35938.0,154,3873,524,1125,1576,648
9,AUI-10244,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.3978384,91352,6037121010,-0.015167129043062609,35.0,1.0874617737003058,64135.0,233,4901,1064,1318,1830,689
10,AUI-10259,"4977 N Genesta Ave, Los Angeles, CA",34.16129300000001,-118.503322,91316-3402,6037139600,-0.21685336307918915,36.0,0.4140256237356709,79023.0,598,4803,961,897,2012,933
11,AUI-10228,"4882 N Libbit Ave, Los Angeles, CA",34.1580375,-118.48802179999998,91436,6037139701,-1.11512109762523,34.0,0.9671266233766234,144337.0,901,5336,990,1014,2166,1166
12,AUI-10345,"5093 Alonzo Ave, Los Angeles, CA",34.16253270000001,-118.520257,91316,6037139502,-0.03980811934271061,36.0,0.6287425149700598,69048.0,598,2856,442,521,1205,688
13,AUI-10248,"20217 Prairie St, Los Angeles, CA",34.2392059,-118.5733855,91311,6037113303,-0.4087095810901445,29.0,0.9339320076972418,83971.0,556,4307,889,768,1826,824
14,AUI-10328,"25825 Normandie Ave, Los Angeles, CA",33.7893434,-118.2974987,90710-2805,6037294421,1.0846576622651585,21.0,0.4646596858638744,41117.0,177,2847,778,578,1194,297
15,AUI-10237,"25820 S Western Ave, Los Angeles, CA",33.78875120000001,-118.3074043,90717,6037293307,0.02024501695331549,28.0,0.4516129032258064,50735.0,180,2552,458,811,1105,178
16,AUI-10214,"1557 W 19th St, Los Angeles, CA",33.7270625,-118.3105717,90732,6037297000,-0.4836514204085857,28.0,0.4578866768759571,100982.0,225,5476,974,1228,2525,749
17,AUI-10262,"12412 W Moorpark St, Los Angeles, CA",34.150277,-118.403516,91604,6037143500,0.20431671504928,33.0,0.28365515365787325,91563.0,947,5241,1179,990,2484,588
18,AUI-10224,"23743 W Roscoe Blvd, Los Angeles, CA",34.219302899999995,-118.644998,91304,6037113231,-0.7485972682927924,33.0,1.0059523809523812,105208.0,433,2424,534,407,1011,472
