,Station,lat,lon,zipcode,Geo_FIPS,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,Total Sessions,Total Connection Time,Total Amount,Total kWh
0,AUI-10372,34.0107197,-118.3188814,90008,6037234000,0.14936149341820282,34.0,0.6428571428571429,56708.0,5,3:18,0.0,12.183
1,AUI-10263,34.0385137,-118.26189,90015-3018,6037207900,-0.11658215953072175,29.0,0.09440389294403892,88800.0,159,542:59,67.38,2846.116
2,AUI-10254,34.0351995,-118.2499719,90021,6037226002,1.2070649167533478,32.0,0.06715328467153285,27632.0,57,115:08,214.96,497.165
3,AUI-10265,33.9897875,-118.29113170000001,90037,6037232700,1.199626960631544,35.0,0.8459743290548425,37067.0,26,32:57,50.29,139.39600000000002
4,AUI-10218,34.200029,-118.61454099999999,91303,6037134303,-0.2016254625429061,31.0,0.9828042328042328,88526.0,122,210:57,260.14,1142.335
5,AUI-10241,34.2011999,-118.45319850000001,91401-2649,6037127220,0.8919442752393832,33.0,0.3154499151103565,40665.0,17,59:03,29.2,158.86
6,AUI-10201,34.0401526,-118.25642090000001,90015,6037207900,-0.11658215953072175,29.0,0.09440389294403892,88800.0,60,165:30,84.68,550.297
7,AUI-10226,34.03928270000001,-118.26358870000001,90015,6037207900,-0.11658215953072175,29.0,0.09440389294403892,88800.0,139,774:06,81.94,3446.6090000000004
8,AUI-10212,34.101397399999996,-118.30565379999999,90029-3737,6037190520,0.7261335421745508,30.0,0.14107883817427386,35938.0,34,45:01,20.1,157.361
9,AUI-10244,34.2259818,-118.39783840000001,91352,6037121010,-0.015167129043062609,35.0,1.0874617737003058,64135.0,25,77:54,11.05,317.64599999999996
10,AUI-10259,34.16129300000001,-118.503322,91316-3402,6037139600,-0.21685336307918915,36.0,0.4140256237356709,79023.0,205,488:56,593.55,2816.475
11,AUI-10228,34.1580375,-118.48802179999998,91436,6037139701,-1.11512109762523,34.0,0.9671266233766234,144337.0,195,384:43,397.88,1725.87
12,AUI-10345,34.16253270000001,-118.520257,91316,6037139502,-0.03980811934271061,36.0,0.6287425149700598,69048.0,82,301:43,0.0,1487.609
13,AUI-10248,34.2392059,-118.5733855,91311,6037113303,-0.4087095810901445,29.0,0.9339320076972418,83971.0,29,62:49,78.53,274.83
14,AUI-10328,33.7893434,-118.29749869999999,90710-2805,6037294421,1.0846576622651585,21.0,0.4646596858638744,41117.0,5,0:22,1.0,2.31
15,AUI-10237,33.78875120000001,-118.3074043,90717,6037293307,0.02024501695331549,28.0,0.4516129032258064,50735.0,12,4:32,7.01,18.392
16,AUI-10214,33.7270625,-118.3105717,90732,6037297000,-0.4836514204085857,28.0,0.4578866768759571,100982.0,35,108:46,122.04,671.11
17,AUI-10262,34.150277,-118.403516,91604,6037143500,0.20431671504928,33.0,0.28365515365787325,91563.0,217,689:17,746.87,2478.2110000000002
18,AUI-10224,34.219302899999995,-118.644998,91304,6037113231,-0.7485972682927924,33.0,1.0059523809523812,105208.0,96,189:25,123.71,862.1519999999999
19,AUI-10269,34.265103700000004,-118.5208745,91344,6037111202,-0.6047326909669981,30.0,1.0986629783310282,80521.0,89,246:32,112.01,1389.7679999999998
20,AUI-10205,34.1925151,-118.64253470000001,91307,6037135203,-0.7237261917025528,37.0,1.1070823449678076,115519.0,89,152:22,164.11,808.296
21,AUI-10255,34.0506258,-118.2270707,90033,6037206032,0.5212263191176763,33.0,0.19892302819132088,35706.0,2,0:00,0.0,0.07
22,AUI-10268,34.2428198,-118.5227509,91330-8449,6037115104,0.3449804003639989,28.0,0.41302381670183896,51094.0,20,80:57,16.93,306.375
