,Station,Address,lat,lon,zipcode,Geo_FIPS,total_cars_1_km,total_population_1_km,pop_below_18_1_km,pop_between_18_34_1_km,pop_between_34_65_1_km,pop_over_65_1_km,occupied_households_1_km,family_households_1_km,nonfamily_households_1_km,householder_less_than_high_school_1_km,householder_high_school_degree_1_km,householder_some_college_1_km,householder_bachelors_degree_1_km,older_than_3_in_school_1_km,older_than_3_not_in_school_1_km,not_high_school_grad_1_km,high_school_grad_1_km,employed_1_km,unemployed_1_km,not_in_labor_force_1_km,30_49_percent_income_to_rent_1_km,over_50_percent_income_to_rent_1_km,commuters_by_car_truck_van_1_km,commuters_by_car_truck_van_alone_1_km,commuters_by_car_truck_van_carpool_1_km,children_living_with_single_parents_1_km,private_sector_1_km,public_sector_1_km,self_employed_1_km,private_non-profit_1_km,unpaid_family_workers_1_km,households_social_security_income_1_km,households_SsI_1_km,households_retirement_income_1_km,housing_units_1_km,vacant_units_1_km,agr_industry_1_km,construct_industry_1_km,manufact_industry_1_km,wholesale_industry_1_km,retail_industry_1_km,transport_industry_1_km,info_industry_1_km,finance_industry_1_km,prof_mgmt_industry_1_km,education_industry_1_km,arts_industry_1_km,public_admin_industry_1_km,other_service_industry_1_km,mgmt_occ_1_km,professional_occ_1_km,health_occ_1_km,protecc_occ_1_km,food_occ_1_km,cleaning_occ_1_km,pers_care_occ_1_km,sales_occ_1_km,office_occ_1_km,farming_occ_1_km,construct_occ_1_km,product_occ_1_km,transport_occ_1_km,concentrated_disadvantage_1_km,commute_time_1_km,median_household_income_1_km,average_household_size_1_km,population_density_1_km,median_house_value_1_km,ev_car_count_1_km,total_sessions,total_connection_time,total_amount,total_kwh
0,AUI-10372,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,90008,6037234000,9411.728465007669,16368.938694195926,3432.662216404664,3800.557311630729,6770.864298594339,2364.854867566192,5944.607350087071,3499.388810433118,2445.2185396539535,1255.123927705704,1197.7327325321958,2081.8395562489036,1409.9111336002677,3530.3199356575337,11958.683089306203,23.22601827619324,551.0773815996138,7704.204625380455,566.4515553299387,4938.121891216101,639.1937106262757,1152.622489151203,6036.462318032645,5357.563542681409,678.8987753512367,1026.9176581109489,4879.36033321761,1184.4314652287676,1104.998774146359,522.7704851251877,12.643567662530725,1689.5492990464127,605.599598261488,1048.8880828468605,6362.851130021676,418.24377993460456,27.409904827040958,423.1474930542882,512.6478171125744,63.42488897711878,872.2699245687847,785.2146916361792,167.4129250543119,313.00267507441004,1043.3652048275123,1590.513608744284,862.0057698043436,652.9896367102699,390.80008498933614,813.1564978378697,1562.7163708795383,357.861728667498,273.44913376883784,512.673372753863,617.9943944198321,251.32496153042868,680.3501966086512,958.1114458250293,48.465472675124886,511.2249833938382,417.22262088059307,699.6534461393502,0.40714459637809325,35.749634185183254,48473.55395397834,2.7801239043669455,13514.804357223642,488010.99457499554,57.6726082858268,5,3:18,0.0,12.183
1,AUI-10263,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,90015-3018,6037207900,7216.871377434818,13071.570724201652,1446.5140762259507,5828.655346720194,4688.2283122990175,1108.1729889564904,7567.04629696538,1917.3903632506074,5649.655933714773,740.3488931001892,751.1074129730822,1693.5658705309584,4382.0241203611495,2960.170353234178,9782.219604069573,22.518431292094466,577.2267105061387,7882.702986229536,438.3448520552394,3596.1264854971932,1563.5894260940236,1885.9505569445143,4194.693033237448,3770.324520370052,424.36851286739505,449.632375473915,5464.022977678481,491.1327865081463,1388.0354997618765,534.896515117986,4.615207163047765,833.2895028739221,367.6963641138395,115.97072303445317,8830.256740543036,1263.2104435776575,0.5561785630161663,204.12202939061996,702.5440976691756,462.6991396690077,697.005183008126,195.29595230413258,466.1480596088438,757.573216520035,1860.8301144854688,995.001116013572,920.9722330726302,346.06898284591136,273.8866830789975,2100.1611252923917,2676.8018435537183,49.68447619192869,139.951376020344,433.06756136107026,100.14532294710688,110.55859355055911,1026.9762761674085,547.7756805527459,9.922542540254288,135.0301874243989,344.1439033276914,208.48409729991877,0.49439424594449655,29.965696702102257,54479.3592640529,1.7968461736270425,10773.029531495133,582742.8808548177,217.9758190891366,159,542:59,67.38,2846.116
2,AUI-10254,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,90021,6037226002,3031.4875309803956,5701.223333280854,576.3301187501145,2454.962569414681,2245.320816018597,424.6098290974603,3394.4403732959427,745.9847157023671,2648.455657593576,455.22077756720137,293.1090303608653,841.6780743029617,1804.4324910649143,1167.4196246304493,4426.320761594141,16.4335035067128,220.69292351503796,3556.9322006060656,255.84274416130685,1427.504413819568,767.5633873691907,825.3904099211311,1747.9477129936467,1574.2769580444347,173.67075494921187,169.43670634037403,2445.5223225843574,237.5242073869564,684.8775180270619,177.0038108343634,12.004341773326237,391.97138963503204,210.99828033978855,50.925337137152816,3949.389828761982,554.9494554660394,2.1969595289884936,100.49219713246733,292.1462727694752,188.93763411198262,336.49744243461555,80.52545732516444,252.77122423564367,298.034770564862,830.1874049168687,403.07244170187647,520.6233737949145,130.13081668985515,121.31620539935156,856.1681273373615,1161.9169832669993,33.21152009010963,61.18340480279544,248.17924962597885,62.661663844273,65.6925730210586,456.8492765206365,231.06339846882634,3.386211008135926,86.93635277667957,144.1162596305669,145.5671802126439,0.8645785461163868,28.189336354429116,32479.25292802204,1.5422345299177689,4698.52005174877,434328.9194048564,134.81580299293702,57,115:08,214.96,497.165
3,AUI-10265,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.29113170000001,90037,6037232700,10688.933215319266,25001.57039515708,7101.6407534935925,7062.287323436179,8820.011429341557,2017.630888885755,6662.136390336906,4839.117257179863,1823.01913315704,2768.51360465273,1782.4524125649996,1649.7962721896909,461.3741009294848,7209.5259299755635,16619.993090814085,100.4644061587601,1305.4302605433816,10532.598469768081,835.3883557643101,7234.921464799224,1007.029304039996,1830.742746351065,8441.965077370749,7269.344988624907,1172.6200887458413,2588.449480830594,8251.058378578105,731.8684494347652,1136.6484780844044,398.5446939104791,14.478469760327233,1436.0255202890094,711.5427877694148,649.0537703252139,6927.683691230181,265.5473008932755,29.2383646705697,930.8997339934489,996.6252059994849,339.772125337234,1558.305599671172,780.3691059752324,139.72664130736734,307.32358034674604,1460.7163365898718,1627.3828372717533,1380.8027731422267,773.1034281187378,208.33273734423767,534.2691151531905,850.7471656433017,381.4502314321634,203.7545310654962,989.6139262491384,1357.5480855770822,374.8433358862573,1275.0058562448792,1060.5644224388416,11.915696024454647,1200.380319239257,966.4705456647379,1326.0352391492822,0.970627110790297,36.09573691032467,36539.97805000145,3.7575075391605695,20611.156521573164,363491.37381733203,23.867612725800516,26,32:57,50.29,139.39600000000002
4,AUI-10218,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.61454099999999,91303,6037134303,6682.601925322838,10376.025265541553,1935.4959085255803,2375.7002045013073,4571.061878176805,1493.7672743378596,3311.1106593149025,2396.587060972791,914.5235983421112,433.0472965057494,563.3005195728597,1029.573793560262,1285.1890496760311,2543.5116654715816,7490.7379304786355,36.666644313253386,515.2800875096883,5448.9509822686405,318.41846236200723,2910.9025204704217,289.1208331424166,286.70207511519345,4396.130709398823,3939.828359279939,456.302350118883,365.358617167867,3893.25458567842,440.6665726519195,688.2462700180668,405.3905765673434,21.392977352890483,913.2884058619794,230.40119374425961,460.29713189220837,3408.718724104123,97.60806478922046,3.9700722433682545,281.5613657795609,394.5068317639231,114.96165824121157,539.580848980969,165.8940401499945,244.30505340165797,749.2979914614353,787.3081191065326,1265.175148909117,515.7511561912204,336.5211589792844,50.11753706036497,923.0801859531608,1407.9292557482986,193.83620353673234,37.375917543078735,218.24599416972228,295.4826353253791,184.62778084573364,588.581632495699,790.0094882394812,3.9944200584608662,316.88709838966076,242.62135120790975,246.27901875532305,-0.4200714640277236,30.354022653442573,97072.68930275402,3.0726985529664166,8655.4522122035,519904.6908206201,112.7038016498972,122,210:57,260.14,1142.335
5,AUI-10241,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.45319850000001,91401-2649,6037127220,10246.738020014345,20736.275517462964,4837.853619880152,5875.48754039486,7816.28962941297,2206.644727774983,6815.861695195374,4260.7139160927945,2555.14777910258,1541.7776741988177,1586.1544591934628,2107.568021264606,1580.3615405384878,5499.493737965859,14310.75398321338,42.21486319581935,919.0110991191923,10382.225222118137,1147.5280635781924,4793.5802542091515,1718.5940559745336,1744.815062137663,8362.709882357996,6626.401066987126,1736.3088153708711,1386.4990626696115,7860.662621404992,726.123194549627,1279.8296556939604,513.8825702321975,1.727180237359345,1444.8946280990517,527.4985601254912,484.1490658269678,7047.07866922449,231.21697402911622,26.93903428429806,1327.445542900732,644.2199776908403,159.61398432304293,1169.0536319918406,441.02983406279634,254.94395796423535,417.40419150507046,1287.5391179459862,2054.166208100154,1464.3643613559857,1010.3948266318631,125.11055336128986,848.0557756670687,1596.0036851802793,505.84219127941867,105.51229075084095,739.6256921699523,1087.5401585395955,370.2189914676816,882.4464928319637,1080.2980906293128,26.93903428429806,1617.0283279362015,759.355262593429,763.3592287880941,0.6039026729158857,32.50542713146075,43388.44010747284,3.0305704458070446,17115.457631713783,442485.34141681495,257.74551910521683,17,59:03,29.2,158.86
6,AUI-10201,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.25642090000001,90015,6037207900,8268.368002445248,14347.761573672908,1127.8795523576782,6397.022005406133,5555.722556720272,1267.1374591888255,8958.49754016963,1973.152209593436,6985.345330576194,754.2859498145369,802.7130245972967,2107.9099834991866,5293.588582258611,2756.532228688789,11286.868872242558,17.839522970758225,507.347485259085,9015.340800386724,544.016820877051,3915.388871269625,1850.0558319245924,2105.0011355558477,4638.613220475414,4244.914655989891,393.6985644855236,252.9893411122453,6165.167946272864,588.6722908909182,1723.8912270265741,527.726310759757,9.883025436611607,1127.7030183483969,477.28722263284897,134.2581320628811,10515.244221802199,1556.746681632568,0.0,176.09027365224213,638.5964731837347,498.8268880905901,759.8712264906493,187.22566082697188,645.8296804193728,878.5070498070759,2246.208054232648,1116.4546449998609,1190.6636283893502,353.0835913972587,323.98362889696966,2505.312303589042,3295.927288669708,67.15705802480248,146.2163524682844,559.8017914462464,70.29942764860569,131.670592226024,1092.3625333007774,593.960100551962,4.853197019555871,94.51534850695393,216.56947163789295,236.69533529686873,0.46773385105260534,28.89035601588425,54686.70372205914,1.5429687462169248,11811.849494969754,575993.6078301906,292.1796543026395,60,165:30,84.68,550.297
7,AUI-10226,"1222 S Grand Ave, Los Angeles, CA",34.03928270000001,-118.26358870000001,90015,6037207900,7548.590964441221,13920.925213514718,1643.2793235858408,6150.939257354663,4928.798082980284,1197.908549593932,7835.134326099638,2084.6706936420514,5750.463632457588,825.7081390518638,810.8788514066715,1693.5946523388293,4504.952683302275,3221.7384868700924,10337.027132265828,24.216764603779016,617.5319170265191,8291.62331555479,450.141509878778,3845.9946102746103,1618.2869097422104,1968.4347544528894,4442.406780583402,3963.7697270961717,478.63705348723124,532.1772138662756,5799.150739307827,499.4125076616491,1420.4679095773422,569.9071222074771,2.6850368004948972,864.4957643575968,386.400290461621,128.87062236603953,9113.302522038392,1278.1681959387506,5.18618934417127,229.46051392026448,795.9190140155762,492.9932786555059,742.8203762802939,213.53723562545542,467.6190612812577,782.7411382296831,1910.5286525277088,1050.3453325948528,949.5560496066257,384.95452392984436,265.96194954355104,2158.787135296019,2735.970867561381,56.50958836577687,154.73321673712096,472.7408963852265,118.02968180488828,109.7501160542546,1061.872133354563,582.6170734780061,15.186189344171268,158.4387858151895,418.82239800019346,248.16523335800093,0.43509806874157075,29.853841440244427,56586.41395206646,1.8312267332632115,11479.647725858016,593245.1973760291,227.53155961864786,139,774:06,81.94,3446.6090000000004
8,AUI-10212,"1676 N Hobart Blvd, Los Angeles, CA",34.101397399999996,-118.30565379999999,90029-3737,6037190520,15063.052406629888,30905.172818844905,3243.392631982203,10119.243709065617,13146.640480829896,4395.895996967188,13728.930536245529,5421.978203152702,8306.952333092826,1884.486764301792,2307.483475848374,3486.80004357344,6050.160252521923,4806.466701800506,25465.890690488333,31.542278334690252,654.4267249768853,17976.18098659809,1370.4230697057442,8673.614653850049,3430.806032364552,3830.1361542014256,10711.930067735024,9662.154289700895,1049.7757780341278,853.2631327013216,11385.21977428681,1167.8389849674593,3058.4725556728063,2338.3547258095405,26.294945861475057,2272.288569133854,1558.6736728810624,528.0880404483089,14903.297107492052,1174.3665712465215,36.254321491015816,736.3636878495888,666.6948178444786,334.70812927652514,1636.905693263676,596.5907989474804,1745.8404556503365,1034.9791740695841,1870.1828562724204,2991.7692914472073,3532.8047347191946,2461.37367885578,331.7133469108021,2526.697506275673,5021.769660059169,782.3053305329793,151.16792073071016,1833.9379623897685,812.5591971766846,730.4723532973102,1460.6632172382967,2176.4068255092975,15.6094081109316,910.5202605804132,528.9370326814784,1025.1343120153795,0.2966311870694131,29.032089191254745,69471.87169393827,2.2170842190788367,25536.585429510484,966930.8759893324,128.3197338697227,34,45:01,20.1,157.361
9,AUI-10244,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.39783840000001,91352,6037121010,5410.4126109791605,10278.970748614107,2418.502751858572,2912.0014227606403,3806.9080767865535,1141.5584972083414,2419.5054016282475,1954.8510336559116,464.65436797233605,821.8430641797923,547.7288506214578,509.5097360776273,540.4237507493701,2716.5264670555894,7084.499149801643,5.964073118794681,550.808757362909,4582.22996615089,271.7118644869586,3296.645007519188,171.75873919466338,386.31380687074085,4003.3813336443254,3263.212844058402,740.1684895859231,490.55896500349,3231.5056233133723,495.2254983983194,523.3570246005863,332.14181983861255,0.0,647.1456301380928,238.72158617278373,304.50852703783625,2551.223899000766,131.71849737251793,68.17740086771276,498.0318059605042,477.2790282857762,118.12309926779035,569.4529261066967,281.4955414721191,145.55809745553307,227.885316311797,518.4166821485123,952.6935013585927,400.77641739303834,223.50676810339527,100.83338141942217,418.34789032100304,803.784113090175,241.30413144072938,47.161326047400784,276.54409985227227,378.89520339525654,111.33046743705604,309.8231285120315,609.6902023886366,7.0,597.7513255434308,372.6343847448523,407.96369337804583,-0.14341010415012742,32.66990748422891,60377.387188352826,4.080929781738076,8645.758071935485,444090.45672707335,28.210841650529986,25,77:54,11.05,317.64599999999996
