,Station,Address,lat,lon,zipcode,Geo_FIPS,total_cars_6.7_km,total_population_6.7_km,pop_below_18_6.7_km,pop_between_18_34_6.7_km,pop_between_34_65_6.7_km,pop_over_65_6.7_km,occupied_households_6.7_km,family_households_6.7_km,nonfamily_households_6.7_km,householder_less_than_high_school_6.7_km,householder_high_school_degree_6.7_km,householder_some_college_6.7_km,householder_bachelors_degree_6.7_km,older_than_3_in_school_6.7_km,older_than_3_not_in_school_6.7_km,not_high_school_grad_6.7_km,high_school_grad_6.7_km,employed_6.7_km,unemployed_6.7_km,not_in_labor_force_6.7_km,30_49_percent_income_to_rent_6.7_km,over_50_percent_income_to_rent_6.7_km,commuters_by_car_truck_van_6.7_km,commuters_by_car_truck_van_alone_6.7_km,commuters_by_car_truck_van_carpool_6.7_km,children_living_with_single_parents_6.7_km,private_sector_6.7_km,public_sector_6.7_km,self_employed_6.7_km,private_non-profit_6.7_km,unpaid_family_workers_6.7_km,households_social_security_income_6.7_km,households_SsI_6.7_km,households_retirement_income_6.7_km,housing_units_6.7_km,vacant_units_6.7_km,agr_industry_6.7_km,construct_industry_6.7_km,manufact_industry_6.7_km,wholesale_industry_6.7_km,retail_industry_6.7_km,transport_industry_6.7_km,info_industry_6.7_km,finance_industry_6.7_km,prof_mgmt_industry_6.7_km,education_industry_6.7_km,arts_industry_6.7_km,public_admin_industry_6.7_km,other_service_industry_6.7_km,mgmt_occ_6.7_km,professional_occ_6.7_km,health_occ_6.7_km,protecc_occ_6.7_km,food_occ_6.7_km,cleaning_occ_6.7_km,pers_care_occ_6.7_km,sales_occ_6.7_km,office_occ_6.7_km,farming_occ_6.7_km,construct_occ_6.7_km,product_occ_6.7_km,transport_occ_6.7_km,concentrated_disadvantage_6.7_km,commute_time_6.7_km,median_household_income_6.7_km,average_household_size_6.7_km,population_density_6.7_km,median_house_value_6.7_km,ev_car_count_6.7_km,total_sessions,total_connection_time,total_amount,total_kwh
0,AUI-10372,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,90008,6037234000,406599.9593470468,862052.2006379082,200608.90387322658,242136.29455897998,326993.67509285465,92313.32711284712,290616.3912752762,175836.5402830517,114779.85099222446,79653.6860558246,56378.68975705848,77796.63659395864,76787.37886843443,229201.39778100018,598683.681877116,2142.5399405853273,41132.2563104045,411421.70147920994,35309.23809067281,236898.12270392186,56926.7745110372,71740.53807054259,296799.51378730405,260190.36471284844,36609.14907445557,75294.2638783078,291671.6083250176,37945.939318024364,58006.630551761664,23298.05239620045,499.47088820586976,61596.44573594418,24006.428019059647,27958.48535311945,311768.0241228734,21151.63284759721,1864.0868716571367,27774.61564397545,39468.395190368974,11246.858164016143,45098.26929311626,24709.30306700503,13176.79966383338,19151.3042493413,52965.946656112705,74481.8816014404,56893.05013969671,33675.317483576975,10915.873455069483,42861.15687407908,66966.2863511377,16702.11646299642,10341.6272757192,33390.0165262042,33832.086084311224,13889.462412511657,43047.35781266973,44079.69800511966,1845.7615157515409,34113.66363206788,32539.64262935481,37812.82589728685,0.5348040097564887,32.36157388363329,52022.15630747026,2.88273152274121,15863.906799914283,545157.6930322191,4270.836327912581,5,3:18,0.0,12.183
1,AUI-10263,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,90015-3018,6037207900,390758.6866106221,940661.0963187813,214422.5439723035,287689.2475964371,345347.34404110943,93201.96070893126,304125.89972249424,181432.7719861871,122693.12773630714,100528.76573641697,57058.703134966985,65173.75067748844,81364.68017362185,247845.70229914004,656463.0712141667,2578.560453379675,44340.272549745234,454524.5440113539,35500.41447161639,259549.42053954437,68545.41657322599,78157.48720370211,303135.40984982974,262310.62290469144,40824.786945138345,79184.84096778212,330309.91407950013,32011.13289769095,68537.9576355997,23019.07981376713,646.4595847960464,59003.339934694886,26286.02426252817,17630.960334190553,327659.50834534754,23533.608622853324,2449.489204288204,33964.27735292622,51432.78550568262,15103.252652350975,51558.621989820866,23442.2395696429,16347.610018712912,18707.307656936457,54522.15102241257,72060.83917372025,69014.24758167492,36868.8094030019,9052.912880183143,43144.66226564751,72897.73510909517,19264.50710232053,8383.52610213897,40997.68861596307,35989.9477050587,14316.001523379167,48001.662431587596,43799.14700090684,2227.7489190061924,40402.13621033072,42998.70437330697,42101.076652612486,0.43354349880938126,31.42179821115753,45368.67043940097,3.0196138346440273,17347.69402563507,525793.2295265719,5514.212277654484,159,542:59,67.38,2846.116
2,AUI-10254,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,90021,6037226002,370277.73587850365,913388.3805414035,215035.68135948956,279836.96750835876,330271.4686113313,88244.26306222391,287291.155976829,175581.90461969716,111709.25135713189,102937.41599755085,54155.07088163024,59623.98203494493,70574.68706270299,246856.6540473867,630570.8830737309,2651.4958343177664,44396.82923155997,433037.6118162976,35315.338727824936,253686.45347929077,65113.82049975333,73912.25945069065,288907.6384972789,248013.7563288111,40893.88216846779,78825.09851416959,319765.47157227807,29942.725900067606,61536.97985281884,21217.23273288295,575.2017582501363,56087.49254740044,25513.56802616705,15994.032996533053,308828.9202147768,21537.76423794778,2493.8405474426163,33375.93978661523,53631.92764704547,16352.770044682478,49559.872894849745,23232.908778437573,13724.125764417477,16890.414163713558,50484.53349015638,67131.17956063236,63977.8208506557,33819.528969177656,8362.74931847135,38446.18082174709,64814.49326862761,18028.176546761344,7954.6592034946,38257.173265581645,33682.86220992189,12980.10647163991,45577.441251890385,42135.13360329962,2350.134087221521,40154.619782270835,45186.70566848305,43469.925635358086,0.4443331892636416,31.07982257322045,44159.76158898928,3.100847676004766,16840.79555967779,479511.15571833885,5055.25383060271,57,115:08,214.96,497.165
3,AUI-10265,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.29113170000001,90037,6037232700,366031.38371977303,819219.214965168,217203.60638384576,224877.71311535663,298490.62403297157,78647.27143299399,241900.1312651483,163775.92266510846,78124.20860003981,84699.62750028388,53933.56139303847,64802.27809560565,38464.66427622027,236666.44746795966,547036.6517049884,2396.131632218361,44919.691862922526,356984.08408141066,33958.43824752294,235575.0308203056,43983.97115714848,60960.29344730219,267827.478920543,231487.78136249242,36339.69755805061,82809.0688677223,259613.9359142569,36093.653012054885,43071.16800349982,17828.867858447833,376.459293151177,54647.961693884936,23652.125600363077,25479.496347853477,256774.93975514805,14874.808489999781,2148.7193839996107,27070.981421193806,42007.0901753769,12358.26315654808,40488.97424894281,27811.96017224862,6869.621746546796,12587.430011566179,40988.52042887618,64784.82960899714,41905.723405932935,27724.12655628454,10237.843764897032,26614.569180486047,43330.092575353905,16490.05625941253,10514.143917867164,25051.311714596384,30368.762068327153,11592.483203267206,35419.810916848975,40569.27639257476,2060.3928536323483,35295.397560569036,35998.186258383415,43679.60118009172,0.703473433961453,32.72038774606971,43796.16939505133,3.174068506383792,15079.673302841307,415685.1519839264,2130.7031548025334,26,32:57,50.29,139.39600000000002
4,AUI-10218,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.61454099999999,91303,6037134303,189903.33571922098,299414.5659440204,62397.92722379542,70597.18282709793,123491.38709948037,42928.06879364672,100661.95984892259,70361.7286502676,30300.23119865498,11504.960568831822,17141.076040017957,30519.885412311167,41496.03782776165,74782.4811732422,213897.76863659607,449.0454625250115,13913.41320083027,153151.79818394053,10438.81649164411,81131.1412556516,11821.798950290122,13884.985877098434,125200.61606412506,110012.30508240877,15188.310981716253,14739.307534204308,106312.24438592525,12817.743171809574,24634.380220408417,9111.71341681133,275.716988985934,27065.90030651299,5776.9678825823985,12694.183930695992,105238.2110529984,4576.251204075806,668.2445362458677,10205.733139905966,11996.319722853159,3606.947660845111,16085.709585236422,4883.17936493422,6958.962214329895,13630.84167010387,24363.24448782401,32405.58532381875,16061.499928661822,9829.13026857018,2456.4002806112408,25902.047931697703,38176.741715226155,5104.036382058268,1483.472968057587,8638.735142738995,7639.637813508902,5584.9204569166695,16791.405798126776,18637.402232403594,390.23097845398956,11307.459260818196,5597.639373473053,7898.068130460623,-0.438330991827588,29.54616197554308,86682.08748183445,2.606118315195501,5526.14516782352,615962.7069048708,3437.445072781964,122,210:57,260.14,1142.335
5,AUI-10241,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.45319850000001,91401-2649,6037127220,325946.7903535019,570139.3440117148,129066.6516907066,152374.65529096784,224172.85673896736,64525.18029107309,184766.02500695593,122901.18427972184,61864.84072723408,37103.990590482004,34467.11904966591,52565.406384536225,60629.50898227179,146007.98577883694,402453.78627112764,1224.2128421752752,27549.43842737278,289401.7906680017,23253.616970696923,143298.3226859612,31010.31372104019,37518.05773924109,235774.92267381639,207337.37651564676,28437.54615816963,33269.36932870638,201053.0914114872,24646.316310186696,47141.237803616874,16164.25087221377,396.8942704971579,39915.8913982438,12888.622919179556,16984.654262878077,192648.83369563927,7882.808688683342,1279.3831565757177,23859.292896324667,22505.008677301987,7128.442025248321,30910.817352581264,12466.862938350081,16309.491249690023,16901.66591114386,39341.66733500382,55833.31010270673,34885.54057839686,21677.94013054493,6302.368314133455,35777.00088704718,59650.84412942374,12700.43381579492,3838.037188603129,17880.266327703255,20479.37161334812,10244.870234357279,28513.75526619797,32721.928249398617,871.8472417004334,28681.64439360538,17549.548085093542,20492.243235728136,-0.07546118400162846,29.381403359032156,65538.2614537424,2.914705516850426,10560.921502634617,528230.9377007621,5575.511115492256,17,59:03,29.2,158.86
6,AUI-10201,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.25642090000001,90015,6037207900,383682.4753564155,929130.8935383223,212254.3234887533,284757.76256120316,340293.4958970431,91825.3115913228,298608.52035827737,178979.96943618136,119628.55092209602,100637.91697808693,55807.428744704855,62965.44575916552,79197.72887632009,245940.50589633718,647366.9104823275,2602.020571501499,43932.37840198049,448278.575841771,35499.43428461812,256253.17222495377,67774.81610599856,76275.68226664691,298618.1091571045,257916.54635729323,40701.56279981127,78031.88177870351,326910.98149257334,31338.013344195337,66838.7339636577,22546.687695147622,644.1593461970053,57902.21691423623,25887.5449595528,16807.421029163685,321638.3700179589,23029.84965968154,2488.0989921712226,33956.7949511998,51708.3198968972,15375.497418641473,50671.33137925886,23002.027493405167,16037.04216915125,18267.561434582545,53283.72861002833,70751.41932575019,67944.48596929591,35960.007885984116,8832.260315404896,42182.96326072284,71397.51627983392,18888.31137874191,8079.854920245398,40378.032546094444,35160.762556054935,14035.226473037928,47199.63988168574,43075.82353205125,2270.583097383776,40291.58051339892,43155.740539658174,42162.540862861715,0.4284479758514844,31.251410928722873,45515.55042888376,3.0382769609847013,17141.411914049437,516652.73590483004,5474.395173498923,60,165:30,84.68,550.297
7,AUI-10226,"1222 S Grand Ave, Los Angeles, CA",34.03928270000001,-118.26358870000001,90015,6037207900,392796.92347876076,941716.0060688236,213477.96296480007,288058.34433508874,346366.5686918405,93813.13007709433,306111.96829597134,181730.9443325473,124381.02396342401,99810.06872706245,57290.318033778225,65977.87909289234,83033.70244223834,247141.3544359235,658322.6096790244,2555.5374921119355,44141.08257049664,456166.04172920715,35623.11578596549,259650.9408753434,68834.17639732541,78693.16638346265,304156.84354453546,263464.6837934174,40692.15975111805,78993.01162484792,330799.71692587965,32202.21609777271,69271.36781110242,23247.6363703311,645.1045241212606,59364.048456119446,26393.55609210788,17909.19612772818,329959.98183226027,23848.01353628891,2416.4087258347636,33848.208823536064,50945.31752791628,14958.590182747612,51662.69143770329,23314.57517641723,16768.50551757067,18934.7012338143,54892.65708058768,72710.76509021399,69489.44650509881,37109.64647882087,9114.527948945573,43713.09596112388,74198.62929830361,19404.3089636495,8413.911314058383,41205.98163521864,36065.55231247973,14396.751138092575,48193.60052164591,43903.08886700527,2200.7188904569875,40214.63224162943,42542.23415866673,41713.53642687647,0.43131955542556255,31.45915763597163,45764.86771634609,3.0033172795320824,17368.0734074274,534399.2341598932,5597.604742051709,139,774:06,81.94,3446.6090000000004
8,AUI-10212,"1676 N Hobart Blvd, Los Angeles, CA",34.101397399999996,-118.30565379999999,90029-3737,6037190520,384999.24890240456,731132.6350669898,122384.90497321868,231162.7893254628,292112.33871282457,85472.60205548385,302252.44518536463,142664.1896031077,159588.25558225694,51421.87732740161,45435.347668037306,69697.81505953147,135697.40513039424,153430.19825868396,554916.1680001895,1349.2402005266686,23531.628285303545,412996.2318461015,31403.519681769452,176266.65788341142,66294.6890165497,72785.88246841569,278250.5228514127,250976.88801469514,27273.63483671755,40245.80906998138,281883.7887949506,25933.228948058615,78957.39575372654,25573.248410980563,648.5699383852584,50455.90951231464,21049.84574326932,16126.706114787072,333012.90736070473,30760.46217534007,1265.6285611167214,22101.341563847192,28495.107814094466,9777.892752075233,40283.14938565299,14632.126512810722,36621.00408863832,22512.36674862747,56697.08178191999,65676.1204819173,73857.62883843732,33501.82162819833,7574.961688765516,62779.94878595242,105713.98868132036,14520.373400880686,4660.658126673947,36742.510105091525,22721.654101605745,14573.692932042715,42989.37456665527,39149.395882973695,904.3541924177571,25083.85909421364,20086.99761781292,23069.424358460885,0.05157654575437457,26.08995899976495,62040.15789076239,2.030294038762945,13502.331717624367,806603.6996387427,8400.767217931416,34,45:01,20.1,157.361
9,AUI-10244,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.39783840000001,91352,6037121010,267331.5247471273,499669.34363671695,117395.54660648675,136868.1053037546,192284.77960482522,53120.912121650385,145563.88503872987,104044.34714065304,41519.53789807683,40530.37870771144,31685.196900818883,40439.290061460604,32909.01936873895,134201.27351550641,347051.5348447623,1225.5448963727144,26302.099703314856,240948.16090733785,20106.793459503355,134987.53480446013,23703.66422901359,31414.167758807867,197423.5837388341,170684.9551754272,26738.628563406917,30061.760715410237,171555.9111479369,20676.47878067538,35358.311661332766,13091.816358478756,265.642958914061,32988.55495349257,12459.424562551329,13165.577226917416,151923.81751052616,6359.932471796275,1388.9966075927823,22780.182224675642,23032.363356845606,5664.317551435372,27947.98593511796,12129.057665478784,9676.61522760331,11403.343926652602,29071.22132077366,44812.56183294761,28726.443795631334,18802.31961987786,5512.751842705309,21783.49197393333,39036.95976660093,11914.189043353035,3615.0970939096205,16315.56391011794,19915.795630416636,8197.62157183568,23881.064946577135,27278.764606833964,869.7686486860828,28763.818553066034,18451.38764619699,20924.637515810464,-0.0824515406949386,29.624020811183307,61648.69393457817,3.3052730394867416,9249.485204374352,472381.2039335979,3251.011237377982,25,77:54,11.05,317.64599999999996
